Edificio  Nombre                                                                                                   Latitud     Longitud    Campus
1B        ETS de Ingeniería de Edificación                                                                         39.4818221  -0.3478972  Vera
1B        Centro Infantil Vera                                                                                     39.4818221  -0.3478972  Vera
1B        Cafetería La Vella                                                                                       39.4818221  -0.3478972  Vera
1C        ETS de Ingeniería de Edificación                                                                         39.4810806  -0.3471467  Vera
1E        ETS de Ingeniería Informática                                                                            39.4827294  -0.3483447  Vera
1E        Museo de Informática                                                                                     39.4827294  -0.3483447  Vera
1F        Dpto. de Sistemas Informáticos y Computación                                                             39.4824091  -0.3470518  Vera
1F        Centro de Investigación en Métodos de Producción de Software                                             39.4824091  -0.3470518  Vera
1F        Instituto Valenciano de Investigación en Inteligencia Artificial                                         39.4824091  -0.3470518  Vera
1G        ETS de Ingeniería Informática                                                                            39.4827175  -0.3467197  Vera
1G        Dpto. de Informática de Sistemas y Computadores                                                          39.4827175  -0.3467197  Vera
1H        ETS de Ingeniería Informática                                                                            39.4829310  -0.3475263  Vera
1H        Colegio Oficial de Bibliotecarios y Documentalistas de la Comunidad Valenciana                           39.4829310  -0.3475263  Vera
2A        Dpto. de Composición Arquitectónica                                                                      39.4803865  -0.3446029  Vera
2A        Dpto. de Construcciones Arquitectónicas                                                                  39.4803865  -0.3446029  Vera
2A        Dpto. de Urbanismo                                                                                       39.4803865  -0.3446029  Vera
2B        ETS de Arquitectura                                                                                      39.4810001  -0.3453117  Vera
2C        ETS de Arquitectura                                                                                      39.4807144  -0.3444760  Vera
2D        Cafetería Ágora                                                                                          39.4810635  -0.3442432  Vera
2E        Escuela de Doctorado                                                                                     39.4819792  -0.3461741  Vera
2E        Área de Control Interno                                                                                  39.4819792  -0.3461741  Vera
2E        Área de Gestión de Alumnado                                                                              39.4819792  -0.3461741  Vera
2E        Área de Contratación                                                                                     39.4819792  -0.3461741  Vera
2E        Servicio de Contratación                                                                                 39.4819792  -0.3461741  Vera
2E        Servicio de Financiación y Presupuestos                                                                  39.4819792  -0.3461741  Vera
2E        Servicio de Fiscalización                                                                                39.4819792  -0.3461741  Vera
2E        Servicio de Gestión Económica                                                                            39.4819792  -0.3461741  Vera
2E        Servicio de Infraestructura                                                                              39.4819792  -0.3461741  Vera
2E        Servicio de Mantenimiento                                                                                39.4819792  -0.3461741  Vera
2E        Servicio de Normativa e Inspección                                                                       39.4819792  -0.3461741  Vera
2E        Servicio de Procesos Electrónicos y Transparencia                                                        39.4819792  -0.3461741  Vera
2E        Servicio de Recursos Humanos                                                                             39.4819792  -0.3461741  Vera
2E        Servicio de Tesorería y Gestión Tributaria                                                               39.4819792  -0.3461741  Vera
2E        Servicio Jurídico                                                                                        39.4819792  -0.3461741  Vera
2E        Unidad de Formación para la Administración y los Servicios Universitarios                                39.4819792  -0.3461741  Vera
2F        ETS de Arquitectura                                                                                      39.4813915  -0.3450367  Vera
2F        Dpto. de Expresión Gráfica Arquitectónica                                                                39.4813915  -0.3450367  Vera
2F        Dpto. de Proyectos Arquitectónicos                                                                       39.4813915  -0.3450367  Vera
2F        Editorial UPV                                                                                            39.4813915  -0.3450367  Vera
2F        Reprografía en Valencia                                                                                  39.4813915  -0.3450367  Vera
2G        Bankia                                                                                                   39.4813915  -0.3440846  Vera
2G        EMT Valencia                                                                                             39.4813915  -0.3440846  Vera
3A        Consejo Social                                                                                           39.4824741  -0.3455717  Vera
3A        Gabinete del Rector                                                                                      39.4824741  -0.3455717  Vera
3A        Gerencia                                                                                                 39.4824741  -0.3455717  Vera
3A        Rector                                                                                                   39.4824741  -0.3455717  Vera
3A        Secretaría General                                                                                       39.4824741  -0.3455717  Vera
3A        Vicerrectorado de Alumnado, Cultura y Deporte                                                            39.4824741  -0.3455717  Vera
3A        Vicerrectorado de Estudios, Calidad y Acreditación                                                       39.4824741  -0.3455717  Vera
3A        Vicerrectorado de Investigación, Innovación y Transferencia                                              39.4824741  -0.3455717  Vera
3A        Vicerrectorado de los Campus y Sostenibilidad                                                            39.4824741  -0.3455717  Vera
3A        Vicerrectorado de Ordenación Académica y Profesorado                                                     39.4824741  -0.3455717  Vera
3A        Vicerrectorado de Planificación y Prospectiva                                                            39.4824741  -0.3455717  Vera
3A        Vicerrectorado de Recursos Digitales y Documentación                                                     39.4824741  -0.3455717  Vera
3A        Vicerrectorado de Responsabilidad Social y Cooperación                                                   39.4824741  -0.3455717  Vera
3A        Área de Actividades Culturales                                                                           39.4824741  -0.3455717  Vera
3A        Área de Alumnado, Rendimiento y Evaluación Curricular                                                    39.4824741  -0.3455717  Vera
3A        Área de Análisis para la eficiencia de los Recursos                                                      39.4824741  -0.3455717  Vera
3A        Área de Calidad y Acreditación                                                                           39.4824741  -0.3455717  Vera
3A        Área de Estudios y Ordenación de Títulos                                                                 39.4824741  -0.3455717  Vera
3A        Área de Fondo de Arte y Patrimonio UPV                                                                   39.4824741  -0.3455717  Vera
3A        Área de Inspección de Servicios                                                                          39.4824741  -0.3455717  Vera
3A        Área de Ordenación Académica                                                                             39.4824741  -0.3455717  Vera
3A        Área de Ordenación de los Campus                                                                         39.4824741  -0.3455717  Vera
3B        Dpto. de Ingeniería Gráfica                                                                              39.4822695  -0.3446981  Vera
3B        Dpto. de Ingeniería Rural y Agroalimentaria                                                              39.4822695  -0.3446981  Vera
3B        Centro Valenciano de Estudios sobre el Riego                                                             39.4822695  -0.3446981  Vera
3C        Dpto. de Ingeniería Rural y Agroalimentaria                                                              39.4821637  -0.3442221  Vera
3C        Área de Intercambio Académico                                                                            39.4821637  -0.3442221  Vera
3C        Oficina de Programas Internacionales de Intercambio                                                      39.4821637  -0.3442221  Vera
3C        Servicio de Promoción y Normalización Lingüística                                                        39.4821637  -0.3442221  Vera
3D        Papelería                                                                                                39.4821426  -0.3437566  Vera
3D        Tarongeria                                                                                               39.4821426  -0.3437566  Vera
3F        Dpto. de Ingeniería Rural y Agroalimentaria                                                              39.4827667  -0.3449732  Vera
3F        Dpto. de Tecnología de Alimentos                                                                         39.4827667  -0.3449732  Vera
3F        Defensor Universitario                                                                                   39.4827667  -0.3449732  Vera
3F        Oficina de Correos                                                                                       39.4827667  -0.3449732  Vera
3F        Registro General                                                                                         39.4827667  -0.3449732  Vera
3G        ETS de Ing. Agron. Y del Medio Natural                                                                   39.4825023  -0.3440740  Vera
3G        Alumno UPV                                                                                               39.4825023  -0.3440740  Vera
3H        ETS de Ing. Agron. Y del Medio Natural                                                                   39.4823859  -0.3435873  Vera
3H        Área de Comunicación                                                                                     39.4823859  -0.3435873  Vera
3H        Taller de bicicletas                                                                                     39.4823859  -0.3435873  Vera
3H        Centralita                                                                                               39.4823859  -0.3435873  Vera
3I        ETS de Ing. Agron. Y del Medio Natural                                                                   39,4828408  -0,3438941  Vera
3J        Dpto. de Biotecnología                                                                                   39,4826821  -0,3434287  Vera
3J        Dpto. de Ecosistemas Agroforestales                                                                      39,4826821  -0,3434287  Vera
3K        Asociación Española de Valoración Agraria                                                                39.4830418  -0.3432806  Vera
3M        Facultad de Bellas Artes                                                                                 39.4840664  -0.3433446  Vera
3M        Laboratorio de Luz                                                                                       39.4840664  -0.3433446  Vera
3N        Facultad de Bellas Artes                                                                                 39.4843138  -0.3447648  Vera
3N        Dpto. de Comunicación Audiovisual, Documentación e Historia del Arte                                     39.4843138  -0.3447648  Vera
3N        Dpto. de Conservación y Restauración de Bienes Culturales                                                39.4843138  -0.3447648  Vera
3N        Dpto. de Dibujo                                                                                          39.4843138  -0.3447648  Vera
3N        Dpto. de Escultura                                                                                       39.4843138  -0.3447648  Vera
3N        Dpto. de Pintura                                                                                         39.4843138  -0.3447648  Vera
3N        Cafetería BBAA                                                                                           39.4843138  -0.3447648  Vera
3N        Tienda de productos de bellas artes                                                                      39.4843138  -0.3447648  Vera
3P        ETS de Ing. Agron. Y del Medio Natural                                                                   39.4833871  -0.3444563  Vera
3P        Dpto. de Ingeniería Rural y Agroalimentaria                                                              39.4833871  -0.3444563  Vera
3P        Dpto. de Producción Vegetal                                                                              39.4833871  -0.3444563  Vera
3Q        Servicio de Promoción y Normalización Lingüística                                                        39.4832595  -0.3455179  Vera
3Q        Unidad de Formación para la Administración y los Servicios Universitarios                                39.4832595  -0.3455179  Vera
3Q        Unidad de Igualdad                                                                                       39.4832595  -0.3455179  Vera
4A        Dpto. De Ingeniería e Infraestructura de los Transportes                                                 39.4802489  -0.3440740  Vera
4A        Instituto del Transporte y Territorio                                                                    39.4802489  -0.3440740  Vera
4D        ETS de Telecomunicación                                                                                  39.4795402  -0.3425718  Vera
4D        UA del grupo de Investigación Sistemas y aplicaciones de tiempo real distribuido de la UPV al Inst       39.4795402  -0.3425718  Vera
4E        Dpto. de Ingeniería Hidráulica y Medio Ambiente                                                          39.4806086  -0.3439153  Vera
4F        ETS de Ingeniería de Telecomunicación                                                                    39.4802913  -0.3429632  Vera
4G        ETSI de Caminos, Canales y Puertos.                                                                      39.4801326  -0.3423179  Vera
4G        Dpto. de Ingeniería de la Construcción y de Proyectos de Ingeniería Civil                                39.4801326  -0.3423179  Vera
4H        ETSI de Caminos, Canales y Puertos.                                                                      39.4809260  -0.3437037  Vera
4H        Área de Sistemas de la Información y las Comunicaciones                                                  39.4809260  -0.3437037  Vera
4I        Dpto. de Ingeniería del Terreno                                                                          39.4807567  -0.3432700  Vera
4J        Laboratorio de Puertos y Costas                                                                          39.4804923  -0.3423390  Vera
4K        Casa del Alumno                                                                                          39.4806933  -0.3417254  Vera
4K        Delegación de Alumnos                                                                                    39.4806933  -0.3417254  Vera
4K        Delegación IAESTE Valencia                                                                               39.4806933  -0.3417254  Vera
4L        Área de Sistemas de la Información y las Comunicaciones                                                  39.4811164  -0.3430372  Vera
4L        Servicio de Biblioteca y Documentación Científica.                                                       39.4811164  -0.3430372  Vera
4M        Banco Santander                                                                                          39.4812540  -0.3435979  Vera
4M        Librería Inter Técnica , S.L.                                                                            39.4812540  -0.3435979  Vera
4N        Instituto Universitario de Ciencia y Tecnología del Hormigón                                             39.4804817  -0.3434287  Vera
4P        ETS de Ingeniería de Telecomunicación                                                                    39.4798893  -0.3434392  Vera
4P        Dpto. de Comunicaciones                                                                                  39.4798893  -0.3434392  Vera
4P        Dpto. de Lingüística Aplicada                                                                            39.4798893  -0.3434392  Vera
4P        Área de Centro de Lenguas                                                                                39.4798893  -0.3434392  Vera
4Q        ETSI de Caminos, Canales y Puertos.                                                                      39.4806086  -0.3428362  Vera
5B        Cafetería Pizzería                                                                                       39.4819733  -0.3431642  Vera
5B        Farmacia Politécnico                                                                                     39.4819733  -0.3431642  Vera
5B        Óptica Politécnica                                                                                       39.4819733  -0.3431642  Vera
5C        Dpto. de Ingeniería de Sistemas y Automática                                                             39.4817406  -0.3427728  Vera
5C        Centro de Medio Ambiente Industrial                                                                      39.4817406  -0.3427728  Vera
5C        FLUING - IMM                                                                                             39.4817406  -0.3427728  Vera
5C        Instituto Tecnológico del Agua                                                                           39.4817406  -0.3427728  Vera
5D        Laboratorio de Acústica Industrial                                                                       39.4815925  -0.3423496  Vera
5E        Dpto. de Ingeniería Eléctrica                                                                            39.4814126  -0.3416091  Vera
5E        Dpto. de Ingeniería Mecánica y de Materiales                                                             39.4814126  -0.3416091  Vera
5E        Centro de Investigación en Ingeniería Mecánica                                                           39.4814126  -0.3416091  Vera
5E        Instituto de Tecnología de Materiales                                                                    39.4814126  -0.3416091  Vera
5E        Laboratorio de Metrología Dimensional                                                                    39.4814126  -0.3416091  Vera
