Edificio	Nombre	Latitud	Longitud	Campus
1B	ETS de Ingeniería de Edificación			Vera
1B	Centro Infantil Vera			Vera
1B	Cafetería La Vella			Vera
1C	ETS de Ingeniería de Edificación			Vera
1E	ETS de Ingeniería Informática			Vera
1E	Museo de Informática			Vera
1F	Dpto. de Sistemas Informáticos y Computación			Vera
1F	Centro de Investigación en Métodos de Producción de Software			Vera
1F	Instituto Valenciano de Investigación en Inteligencia Artificial			Vera
1G	ETS de Ingeniería Informática			Vera
1G	Dpto. de Informática de Sistemas y Computadores			Vera
1H	ETS de Ingeniería Informática			Vera
1H	Colegio Oficial de Bibliotecarios y Documentalistas de la Comunidad Valenciana			Vera
2A	Dpto. de Composición Arquitectónica			Vera
2A	Dpto. de Construcciones Arquitectónicas			Vera
2A	Dpto. de Urbanismo			Vera
2B	ETS de Arquitectura			Vera
2C	ETS de Arquitectura			Vera
2D	Cafetería Ágora			Vera
2E	Escuela de Doctorado			Vera
2E	Área de Control Interno			Vera
2E	Área de Gestión de Alumnado			Vera
2E	Área de Contratación			Vera
2E	Servicio de Contratación			Vera
2E	Servicio de Financiación y Presupuestos			Vera
2E	Servicio de Fiscalización			Vera
2E	Servicio de Gestión Económica			Vera
2E	Servicio de Infraestructura			Vera
2E	Servicio de Mantenimiento			Vera
2E	Servicio de Normativa e Inspección 			Vera
2E	Servicio de Procesos Electrónicos y Transparencia			Vera
2E	Servicio de Recursos Humanos			Vera
2E	Servicio de Tesorería y Gestión Tributaria			Vera
2E	Servicio Jurídico			Vera
2E	Unidad de Formación para la Administración y los Servicios Universitarios			Vera
2F	ETS de Arquitectura			Vera
2F	Dpto. de Expresión Gráfica Arquitectónica 			Vera
2F	Dpto. de Proyectos Arquitectónicos			Vera
2F	Editorial UPV			Vera
2F	Reprografía en Valencia			Vera
2G	Bankia			Vera
2G	EMT Valencia 			Vera
3A	Consejo Social			Vera
3A	Gabinete del Rector			Vera
3A	Gerencia			Vera
3A	Rector			Vera
3A	Secretaría General			Vera
3A	Vicerrectorado de Alumnado, Cultura y Deporte			Vera
3A	Vicerrectorado de Estudios, Calidad y Acreditación			Vera
3A	Vicerrectorado de Investigación, Innovación y Transferencia			Vera
3A	Vicerrectorado de los Campus y Sostenibilidad			Vera
3A	Vicerrectorado de Ordenación Académica y Profesorado			Vera
3A	Vicerrectorado de Planificación y Prospectiva			Vera
3A	Vicerrectorado de Recursos Digitales y Documentación			Vera
3A	Vicerrectorado de Responsabilidad Social y Cooperación 			Vera
3A	Área de Actividades Culturales			Vera
3A	Área de Alumnado, Rendimiento y Evaluación Curricular			Vera
3A	Área de Análisis para la eficiencia de los Recursos			Vera
3A	Área de Calidad y Acreditación			Vera
3A	Área de Estudios y Ordenación de Títulos			Vera
3A	Área de Fondo de Arte y Patrimonio UPV			Vera
3A	Área de Inspección de Servicios			Vera
3A	Área de Ordenación Académica			Vera
3A	Área de Ordenación de los Campus			Vera
3B	Dpto. de Ingeniería Gráfica			Vera
3B	Dpto. de Ingeniería Rural y Agroalimentaria			Vera
3B	Centro Valenciano de Estudios sobre el Riego			Vera
3C	Dpto. de Ingeniería Rural y Agroalimentaria			Vera
3C	Área de Intercambio Académico			Vera
3C	Oficina de Programas Internacionales de Intercambio			Vera
3C	Servicio de Promoción y Normalización Lingüística			Vera
3D	Papelería			Vera
3D	Tarongeria			Vera
3F	Dpto. de Ingeniería Rural y Agroalimentaria			Vera
3F	Dpto. de Tecnología de Alimentos			Vera
3F	Defensor Universitario			Vera
3F	Oficina de Correos			Vera
3F	Registro General			Vera
3G	ETS de Ing. Agron. Y del Medio Natural			Vera
3G	Alumno UPV			Vera
3H	ETS de Ing. Agron. Y del Medio Natural			Vera
3H	Área de Comunicación			Vera
3H	Taller de bicicletas			Vera
3H	Centralita			Vera
3I 	ETS de Ing. Agron. Y del Medio Natural			Vera
3J 	Dpto. de Biotecnología 			Vera
3J 	Dpto. de Ecosistemas Agroforestales			Vera
3K	Asociación Española de Valoración Agraria			Vera
3M	Facultad de Bellas Artes			Vera
3M	Laboratorio de Luz			Vera
3N	Facultad de Bellas Artes			Vera
3N	Dpto. de Comunicación Audiovisual, Documentación e Historia del Arte			Vera
3N	Dpto. de Conservación y Restauración de Bienes Culturales			Vera
3N	Dpto. de Dibujo			Vera
3N	Dpto. de Escultura			Vera
3N	Dpto. de Pintura			Vera
3N	Cafetería BBAA			Vera
3N	Tienda de productos de bellas artes			Vera
3P	ETS de Ing. Agron. Y del Medio Natural			Vera
3P	Dpto. de Ingeniería Rural y Agroalimentaria			Vera
3P	Dpto. de Producción Vegetal			Vera
3Q	Servicio de Promoción y Normalización Lingüística			Vera
3Q	Unidad de Formación para la Administración y los Servicios Universitarios			Vera
3Q	Unidad de Igualdad			Vera
4A	Dpto. De Ingeniería e Infraestructura de los Transportes			Vera
4A	Instituto del Transporte y Territorio			Vera
4D	ETS de Telecomunicación			Vera
4D	UA del grupo de Investigación Sistemas y aplicaciones de tiempo real distribuido de la UPV al Inst			Vera
4E	Dpto. de Ingeniería Hidráulica y Medio Ambiente			Vera
4F	ETS de Ingeniería de Telecomunicación			Vera
4G	ETSI de Caminos, Canales y Puertos.			Vera
4G	Dpto. de Ingeniería de la Construcción y de Proyectos de Ingeniería Civil			Vera
4H	ETSI de Caminos, Canales y Puertos.			Vera
4H	Área de Sistemas de la Información y las Comunicaciones			Vera
4I	Dpto. de Ingeniería del Terreno			Vera
4J	Laboratorio de Puertos y Costas			Vera
4K	Casa del Alumno			Vera
